id,retweet_count,favorite_count
892420643555336193,7428,35179
892177421306343426,5522,30445
891815181378084864,3646,22894
891689557279858688,7599,38471
891327558926688256,8181,36738
891087950875897856,2743,18513
890971913173991426,1774,10768
890729181411237888,16611,59251
890609185150312448,3792,25496
890240255349198849,6434,29084
890006608113172480,6454,28054
889880896479866881,4385,25517
889665388333682689,8807,43808
889638837579907072,3936,24632
889531135344209921,1984,13877
889278841981685760,4685,22995
888917238123831296,3941,26605
888804989199671297,3725,23344
888554962724278272,3045,18003
888078434458587136,3052,19902
887705289381826560,4753,27668
887517139158093824,10361,42358
887473957103951883,15822,62699
887343217045368832,9266,30748
887101392804085760,5250,28004
886983233522544640,6726,31743
886736880519319552,2798,10918
886680336477933568,3938,20556
886366144734445568,2785,19288
886267009285017600,3,108
886258384151887873,5568,25556
886054160059072513,96,0
885984800019947520,5908,29756
885528943205470208,5624,32821
885518971528720385,3286,18712
885311592912609280,16280,0
885167619883638784,3849,19989
884925521741709313,15889,70229
884876753390489601,4915,25405
884562892145688576,4134,22194
884441805382717440,5018,24777
884247878851493888,17869,66175
884162670584377345,2634,18645
883838122936631299,3012,19952
883482846933004288,8691,41835
883360690899218434,3238,20721
883117836046086144,5844,33880
882992080364220416,3414,21821
882762694511734784,4297,25801
882627270321602560,5336,25618
882268110199369728,10207,40908
882045870035918850,4283,26775
881906580714921986,2998,22266
881666595344535552,9405,46297
881633300179243008,7,115
881536004380872706,14110,45198
881268444196462592,4674,21275
880935762899988482,2461,15630
880872448815771648,3367,19466
880465832366813184,5477,26008
880221127280381952,3660,24615
880095782870896641,3834,25240
879862464715927552,3073,20449
879674319642796034,10,289
879492040517615616,2794,21480
879415818425184262,39373,96611
879376492567855104,2761,15420
879130579576475649,6011,0
879050749262655488,4150,20618
879008229531029506,2361,17394
878776093423087618,3617,17738
878604707211726852,6233,27514
878404777348136964,1126,0
878316110768087041,5862,0
878281511006478336,1126,7056
878057613040115712,6011,38542
877736472329191424,16715,72399
877611172832227328,70,0
877556246731214848,3360,20787
877316821321428993,4597,25143
877201837425926144,4915,24834
876838120628539392,2945,18961
876537666061221889,4155,21788
876484053909872640,2090,17226
876120275196170240,4120,25678
875747767867523072,3773,23032
875144289856114688,4342,20109
875097192612077568,5391,25193
875021211251597312,4179,23416
874680097055178752,4106,25535
874434818259525634,12863,0
874296783580663808,3664,23916
874057562936811520,3533,20880
874012996292530176,9056,31374
873580283840344065,3500,22266
873337748698140672,1406,0
873213775632977920,1406,6577
872967104147763200,4799,25035
872820683541237760,3308,13548
872620804844003328,3238,19081
872486979161796608,8095,37491
872122724285648897,7222,31499
871879754684805121,9744,34524
871762521631449091,3103,18609
871515927908634625,3105,18588
871166179821445120,5106,0
871102520638267392,4926,19283
871032628920680449,3403,20968
870804317367881728,5533,31002
870726314365509632,3,112
870656317836468226,2335,11338
870374049280663552,23845,76814
870308999962521604,3715,20247
870063196459192321,7451,33697
869772420881756160,9110,39380
869702957897576449,5644,26037
869596645499047938,2785,14761
869227993411051520,3378,18879
868880397819494401,12930,60337
868639477480148993,1850,0
868622495443632128,4743,24592
868552278524837888,1850,9318
867900495410671616,3771,22424
867774946302451713,6606,31489
867421006826221569,2245,14882
867072653475098625,108,0
867051520902168576,7116,29837
866720684873056260,4335,18539
866686824827068416,3124,17832
866450705531457537,31874,113285
866334964761202691,12863,48501
866094527597207552,7569,0
865718153858494464,5097,23859
865359393868664832,4532,24564
865006731092295680,7013,26041
864873206498414592,7875,29966
864279568663928832,2723,13584
864197398364647424,7997,27825
863907417377173506,3765,19190
863553081350529029,3807,14192
863471782782697472,2199,0
863432100342583297,4766,22129
863427515083354112,85,2045
863079547188785154,1010,8172
863062471531167744,2199,7838
862831371563274240,4686,17870
862722525377298433,3231,15946
862457590147678208,4477,19018
862096992088072192,21080,69081
861383897657036800,9778,33671
861288531465048066,3783,16018
861005113778896900,3492,15589
860981674716409858,1955,0
860924035999428608,723,0
860563773140209665,1955,6993
860524505164394496,4840,22110
860276583193509888,3228,17217
860184849394610176,5375,15593
860177593139703809,28321,0
859924526012018688,3771,18359
859851578198683649,3235,14484
859607811541651456,1419,17475
859196978902773760,27691,84088
859074603037188101,12556,31665
858860390427611136,7469,0
858843525470990336,3194,14658
858471635011153920,4491,20261
858107933456039936,2667,14806
857989990357356544,2383,15100
857746408056729600,9829,32160
857393404942143489,1519,5539
857263160327368704,4179,18920
857214891891077121,17,212
857062103051644929,154,0
857029823797047296,3679,17743
856543823941562368,2679,15441
856526610513747968,1748,11217
856330835276025856,620,0
856288084350160898,15,488
856282028240666624,5840,26211
855862651834028034,22,314
855860136149123072,901,4628
855857698524602368,1960,11248
855851453814013952,16857,43411
855818117272018944,5059,25260
855459453768019968,7668,28183
855245323840757760,5540,0
855138241867124737,40,0
854732716440526848,5666,21569
854482394044301312,6380,27699
854365224396361728,4385,17946
854120357044912130,6970,30384
854010172552949760,2950,15448
853760880890318849,5408,27179
853639147608842240,9385,32948
853299958564483072,3339,14753
852936405516943360,1869,0
852912242202992640,1694,8588
852672615818899456,2034,14232
852553447878664193,3268,15513
852311364735569921,9358,31603
852226086759018497,6457,19076
852189679701164033,1501,10970
851861385021730816,19,0
851591660324737024,3274,15569
851464819735769094,6676,23208
851224888060895234,5444,19814
850753642995093505,8573,29446
850380195714523136,2457,12568
850333567704068097,310,3311
850145622816686080,3588,15643
850019790995546112,4611,19586
849776966551130114,7185,29141
849668094696017920,4708,0
849412302885593088,2985,15246
849336543269576704,1792,10960
849051919805034497,8018,40659
848690551926992896,4107,24223
848324959059550208,4392,23771
848213670039564288,681,7855
848212111729840128,2871,15696
847978865427394560,3096,0
847971574464610304,419,0
847962785489326080,4823,22643
847842811428974592,1254,5225
847617282490613760,392,6732
847606175596138505,3259,18084
847251039262605312,4118,19755
847157206088847362,5568,19116
847116187444137987,3039,20696
846874817362120707,3738,19365
846514051647705089,10992,42966
846505985330044928,2927,13632
846153765933735936,8615,30441
